name,parent,locale,slug,slug_translation,description,meta_title,meta_keywords,meta_description,logo,banner,position,display_mode,visible_in_menu,filterable_attributes
Men,root,en,men,,"Explore our curated collection of men's clothing designed to elevate your style. From tailored suits to casual essentials, each piece exudes sophistication and quality craftsmanship, ensuring you look and feel your best.",Redefine Your Style with Sophisticated Men's Clothing,"Men's Clothing, Men's Fashion, Premium Men's Apparel","Elevate your wardrobe with our sophisticated men's clothing collection. Discover timeless pieces crafted from premium materials, tailored to perfection for the modern man who values style and quality.",men.webp,men_banner.webp,2,products_and_description,1,"size,color"
Hommes,root,fr,men,hommes,"Découvrez notre collection sélectionnée de vêtements pour hommes conçus pour rehausser votre style. Des costumes sur mesure aux essentiels décontractés, chaque pièce dégage sophistication et qualité artisanale, vous assurant de paraître et de vous sentir au mieux de votre forme.",Redéfinissez votre style avec des vêtements pour hommes sophistiqués,"Vêtements pour hommes, mode pour hommes, vêtements pour hommes de qualité supérieure","Rehaussez votre garde-robe avec notre collection sophistiquée de vêtements pour hommes. Découvrez des pièces intemporelles conçues à partir de matériaux haut de gamme, taillées à la perfection pour l'homme moderne qui valorise le style et la qualité.",,,2,products_and_description,1,"size,color"
Formal Wear,men,en,men-formal-wear,,"Explore a world of sophistication and style with our meticulously curated collection of formal wear for men. From classic suits to elegant tuxedos, each piece is tailored to perfection, ensuring you make a memorable statement at any formal event.",Elevate Your Style with Men Formal Wear,"Men Formal Wear, Suits for Men, Tuxedos, Formal Attire","Discover the epitome of elegance with our collection of men's formal wear. Whether it's a sharp suit or a sleek tuxedo, our pieces are designed to enhance your presence and leave a lasting impression at any formal occasion.",,,3,products_only,1,"size,color"
Tenue de soirée,men,fr,men-formal-wear,vêtements-habillés-pour-hommes,"Explorez un monde de sophistication et de style avec notre collection de vêtements formels pour hommes méticuleusement sélectionnée. Des costumes classiques aux élégants smokings, chaque pièce est taillée à la perfection, vous assurant de faire une déclaration mémorable lors de tout événement formel.",Rehaussez votre style avec des vêtements formels pour hommes,"Vêtements formels pour hommes, costumes pour hommes, smokings, tenue formelle","Découvrez l'apogée de l'élégance avec notre collection de vêtements formels pour hommes. Qu'il s'agisse d'un costume élégant ou d'un smoking élégant, nos pièces sont conçues pour rehausser votre présence et laisser une impression durable à toute occasion formelle.",,,3,products_only,1,"size,color"
Casual Wear,men,en,men-casual-wear,,"Elevate your everyday style effortlessly with our diverse range of men's casual wear. From laid-back tees to versatile jeans and cozy hoodies, our collection is designed to keep you looking and feeling your best on any occasion.",Men's Casual Wear: Effortless Style for Every Moment,"Men's casual wear, casual clothing for men, men's casual fashion, comfortable men's clothing, versatile men's wardrobe, casual outfits for men","Explore our selection of men's casual wear designed to elevate your style with ease. From comfortable tees and classic jeans to versatile hoodies, our collection offers everything you need to create effortlessly stylish looks for any moment.",,,4,description_only,1,"size,color"
Vêtements décontractés,men,fr,men-casual-wear,vêtements-décontractés-pour-hommes,"Rehaussez votre style quotidien sans effort avec notre gamme variée de vêtements décontractés pour hommes. Des t-shirts décontractés aux jeans polyvalents et aux sweat-shirts confortables, notre collection est conçue pour vous permettre de paraître et de vous sentir au mieux en toute occasion.",Vêtements décontractés pour hommes : Style sans effort pour chaque instant,"Vêtements décontractés pour hommes, vêtements décontractés pour hommes, mode décontractée pour hommes, vêtements confortables pour hommes, garde-robe polyvalente pour hommes, tenues décontractées pour hommes","Découvrez notre sélection de vêtements décontractés pour hommes conçus pour rehausser votre style avec facilité. Des t-shirts confortables et des jeans classiques aux sweats à capuche polyvalents, notre collection offre tout ce dont vous avez besoin pour créer des looks sans effort et élégants pour n'importe quel moment.",,,4,description_only,1,"size,color"
Active Wear,men,en,men-active-wear,,"Gear up for action-packed days with our cutting-edge men's active wear collection. Crafted from high-performance fabrics and engineered for comfort and style, our range is designed to empower you to push your limits and conquer any challenge.",Men's Active Wear: Unleash Your Potential with Performance and Style,"Men's active wear, performance clothing for men, athletic apparel for men, men's gym wear, sportswear for men, workout clothes for men",Unlock your full potential with our premium men's active wear designed for performance and style. Explore our collection of high-quality athletic apparel crafted from advanced fabrics to keep you comfortable and focused during every workout or activity.,,,5,products_and_description,1,"size,color"
Vêtements de sport,men,fr,men-active-wear,vêtements-actifs-pour-hommes,"Préparez-vous pour des journées pleines d'action avec notre collection de vêtements de sport pour hommes de pointe. Fabriquée à partir de tissus haute performance et conçue pour le confort et le style, notre gamme est conçue pour vous permettre de repousser vos limites et de relever tous les défis.",Vêtements de sport pour hommes : libérez votre potentiel avec performance et style,"Vêtements de sport pour hommes, vêtements de performance pour hommes, vêtements de sport pour hommes, vêtements de gym pour hommes, vêtements de sport pour hommes, vêtements d'entraînement pour hommes",Débloquez tout votre potentiel avec nos vêtements de sport pour hommes de qualité supérieure conçus pour la performance et le style. Explorez notre collection de vêtements de sport de haute qualité confectionnés à partir de tissus avancés pour vous garder confortable et concentré lors de chaque séance d'entraînement ou activité.,,,5,products_and_description,1,"size,color"
Footwear,men,en,men-footwear,,"Step into style and comfort with our sophisticated collection of men's footwear. From timeless classics to contemporary designs, each pair is crafted with premium materials and attention to detail, ensuring unparalleled quality and comfort with every step.",Men's Footwear: Walk in Style and Comfort with Our Premium Collection,"Men's footwear, men's shoes, men's boots, stylish men's footwear, comfortable men's shoes, premium men's footwear","Elevate your look with our diverse range of men's footwear, crafted for both style and comfort. Explore our collection of shoes and boots designed with premium materials and impeccable craftsmanship, ensuring you walk with confidence and sophistication.",,,6,products_only,1,"size,color"
Chaussures,men,fr,men-footwear,chaussures-pour-hommes,"Entrez dans le style et le confort avec notre collection sophistiquée de chaussures pour hommes. Des classiques intemporels aux designs contemporains, chaque paire est conçue avec des matériaux de qualité supérieure et une attention particulière aux détails, garantissant une qualité et un confort inégalés à chaque pas.",Chaussures pour hommes : marchez avec style et confort avec notre collection premium,"chaussures pour hommes, chaussures pour hommes, bottes pour hommes, chaussures élégantes pour hommes, chaussures confortables pour hommes, chaussures haut de gamme pour hommes","Rehaussez votre look avec notre gamme diversifiée de chaussures pour hommes, conçue pour le style et le confort. Explorez notre collection de chaussures et de bottes conçues avec des matériaux de qualité et un savoir-faire impeccable, garantissant que vous marchez avec confiance et sophistication.",,,6,products_only,1,"size,color"
Women,root,en,women,,"Step into sophistication with our curated collection of women's clothing. From chic dresses to versatile separates, each piece is designed to empower and inspire, blending timeless elegance with contemporary flair.",Embrace Timeless Elegance with Our Women's Clothing Collection,"Women's Clothing, Fashion for Women, Stylish Women's Apparel","Elevate your wardrobe with our women's clothing collection, where sophistication meets versatility. Discover exquisite pieces crafted from premium materials, tailored to enhance your unique style and confidence.",women.webp,women_banner.webp,7,description_only,1,"size,color"
Femmes,root,fr,women,femmes,"Plongez dans la sophistication avec notre collection sélectionnée de vêtements pour femmes. Des robes chic aux pièces polyvalentes, chaque pièce est conçue pour donner du pouvoir et inspirer, mêlant élégance intemporelle et flair contemporain.",Embrassez l'élégance intemporelle avec notre collection de vêtements pour femmes,"Vêtements pour femmes, mode pour femmes, vêtements élégants pour femmes","Rehaussez votre garde-robe avec notre collection de vêtements pour femmes, où la sophistication rencontre la polyvalence. Découvrez des pièces exquises fabriquées à partir de matériaux de première qualité, conçues pour mettre en valeur votre style unique et votre confiance.",,,7,description_only,1,"size,color"
Formal Wear,women,en,women-formal-wear,,"Make a statement of elegance and grace with our stunning collection of women's formal wear. From sophisticated dresses to tailored suits and chic separates, each piece is meticulously crafted to exude confidence and timeless style, perfect for any special occasion.",Women's Formal Wear: Radiate Confidence and Elegance,"Women's formal wear, formal dresses for women, women's suits, elegant women's clothing, sophisticated women's fashion, special occasion attire for women","Step into sophistication with our exquisite collection of women's formal wear. From elegant dresses to tailored suits, each piece is designed to enhance your confidence and radiate timeless elegance on any special occasion.",,,8,products_and_description,1,"size,color"
Tenue de soirée,women,fr,women-formal-wear,vêtements-de-soirée-pour-femmes,"Faites une déclaration d'élégance et de grâce avec notre magnifique collection de vêtements formels pour femmes. Des robes sophistiquées aux costumes sur mesure et aux séparations chics, chaque pièce est méticuleusement conçue pour exprimer confiance et style intemporel, parfait pour toute occasion spéciale.",Vêtements de soirée pour femmes : rayonnez confiance et élégance,"Vêtements de soirée pour femmes, robes de soirée pour femmes, costumes pour femmes, vêtements élégants pour femmes, mode sophistiquée pour femmes, tenue de soirée pour femmes","Plongez dans la sophistication avec notre collection exquise de vêtements de soirée pour femmes. Des robes élégantes aux costumes sur mesure, chaque pièce est conçue pour renforcer votre confiance et rayonner une élégance intemporelle lors de toute occasion spéciale.",,,8,products_and_description,1,"size,color"
Casual Wear,women,en,women-casual-wear,,"Rediscover comfort and style with our versatile collection of women's casual wear. From cozy loungewear to trendy everyday essentials, each piece is thoughtfully designed to elevate your off-duty look effortlessly, allowing you to express your unique style with ease.",Women's Casual Wear: Effortless Style for Every Day,"Women's casual wear, casual clothing for women, women's casual fashion, comfortable women's clothing, trendy women's wardrobe, casual outfits for women","Explore our curated selection of women's casual wear, perfect for embracing comfort without compromising on style. From relaxed loungewear to chic everyday essentials, our collection offers versatile pieces that effortlessly elevate your off-duty look, allowing you to express your individuality with ease.",,,9,products_only,1,"size,color"
Vêtements décontractés,women,fr,women-casual-wear,vêtements-décontractés-pour-femmes,"Redécouvrez le confort et le style avec notre collection polyvalente de vêtements décontractés pour femmes. Du vêtement de détente confortable aux essentiels tendance de tous les jours, chaque pièce est soigneusement conçue pour rehausser votre look hors service sans effort, vous permettant d'exprimer votre style unique avec facilité.",Vêtements décontractés pour femmes : Style sans effort pour tous les jours,"Vêtements décontractés pour femmes, vêtements décontractés pour femmes, mode décontractée pour femmes, vêtements confortables pour femmes, garde-robe tendance pour femmes, tenues décontractées pour femmes","Découvrez notre sélection soigneusement choisie de vêtements décontractés pour femmes, parfaits pour allier confort et style. Du vêtement d'intérieur décontracté aux essentiels chics du quotidien, notre collection propose des pièces polyvalentes qui rehaussent facilement votre look décontracté, vous permettant d'exprimer votre individualité avec facilité.",,,9,products_only,1,"size,color"
Active Wear,women,en,women-active-wear,,"Unleash your inner strength and style with our dynamic collection of women's activewear. Engineered for performance and designed with fashion-forward flair, each piece is crafted from high-quality materials to support your active lifestyle while keeping you looking and feeling your best.",Women's Activewear: Elevate Your Workouts with Style and Performance,"Women's activewear, workout clothes for women, athletic wear for women, women's gym wear, performance clothing for women, sportswear for women","Achieve your fitness goals in style with our premium women's activewear collection. From supportive sports bras to moisture-wicking leggings, our range of athletic apparel combines fashion and function to help you excel in every workout, empowering you to conquer your fitness journey with confidence and flair.",,,10,description_only,1,"size,color"
Vêtements de sport,women,fr,women-active-wear,vêtements-de-sport-pour-femmes,"Libérez votre force intérieure et votre style avec notre collection dynamique de vêtements de sport pour femmes. Conçu pour la performance et conçu avec un flair à la mode, chaque pièce est fabriquée à partir de matériaux de haute qualité pour soutenir votre mode de vie actif tout en vous gardant belle et vous sentant au mieux.",Vêtements de sport pour femmes : rehaussez vos séances d'entraînement avec style et performance,"Vêtements de sport pour femmes, vêtements d'entraînement pour femmes, vêtements de sport pour femmes, vêtements de gym pour femmes, vêtements de performance pour femmes, vêtements de sport pour femmes","Atteignez vos objectifs de remise en forme avec style grâce à notre collection de vêtements de sport pour femmes de haute qualité. Des soutiens-gorge de sport de soutien aux leggings qui évacuent l'humidité, notre gamme de vêtements de sport combine mode et fonctionnalité pour vous aider à exceller dans chaque entraînement, vous permettant de conquérir votre parcours de remise en forme avec confiance et élégance.",,,10,description_only,1,"size,color"
Foot Wear,women,en,women-foot-wear,,"Step into sophistication and comfort with our curated collection of women's footwear. From timeless classics to on-trend styles, each pair is crafted with precision and attention to detail, ensuring both elegance and comfort with every step you take.",Women's Footwear: Step into Style and Comfort,"Women's footwear, women's shoes, women's boots, stylish women's footwear, comfortable women's shoes, premium women's footwear","Elevate your look with our diverse range of women's footwear. Whether you're searching for the perfect pair of heels, boots, or flats, our collection offers timeless designs and superior comfort, ensuring you step out in style wherever you go.",,,11,products_and_description,1,"size,color"
Chaussures,women,fr,women-foot-wear,chaussures-pour-femmes,"Plongez dans la sophistication et le confort avec notre collection soigneusement sélectionnée de chaussures pour femmes. Des classiques intemporels aux styles tendance, chaque paire est conçue avec précision et souci du détail, garantissant à la fois élégance et confort à chaque pas que vous faites.",Chaussures pour femmes : marchez avec style et confort,"Chaussures pour femmes, chaussures pour femmes, bottes pour femmes, chaussures élégantes pour femmes, chaussures confortables pour femmes, chaussures haut de gamme pour femmes","Rehaussez votre look avec notre gamme variée de chaussures pour femmes. Que vous cherchiez la paire parfaite de talons, de bottes ou de chaussures plates, notre collection offre des designs intemporels et un confort supérieur, vous assurant de sortir avec style où que vous alliez.",,,11,products_and_description,1,"size,color"
Kids,root,en,kids,,"Discover a world of endless possibilities for your little ones with our delightful collection of kids' clothing and accessories. From adorable outfits for everyday adventures to stylish essentials for special occasions, each piece is designed to spark joy and foster imagination.",Kids' Clothing & Accessories: Dress Them in Joyful Style,"Kids' clothing, children's fashion, kids' outfits, kids' accessories, children's apparel, stylish kids' wear","Explore our enchanting collection of kids' clothing and accessories, crafted to bring smiles and style to every moment. From playtime to parties, our range offers a delightful selection of outfits and accessories designed to celebrate childhood in all its magical moments.",kids.webp,kids_banner.webp,12,products_only,1,"size,color"
Enfants,root,fr,kids,enfants,"Découvrez un monde de possibilités infinies pour vos petits avec notre délicieuse collection de vêtements et d'accessoires pour enfants. Des tenues adorables pour les aventures quotidiennes aux essentiels élégants pour les occasions spéciales, chaque pièce est conçue pour susciter la joie et encourager l'imagination.",Vêtements et accessoires pour enfants : habillez-les avec style joyeux,"Vêtements pour enfants, mode enfantine, tenues pour enfants, accessoires pour enfants, vêtements pour enfants, vêtements élégants pour enfants","Découvrez notre collection enchantée de vêtements et d'accessoires pour enfants, conçus pour apporter des sourires et du style à chaque instant. De l'heure du jeu aux fêtes, notre gamme offre une sélection délicieuse de tenues et d'accessoires conçus pour célébrer l'enfance dans tous ses moments magiques.",,,12,products_only,1,"size,color"
Girl Clothing,kids,en,kids-girl-clothing,,"Dress your little princess in enchanting style with our charming collection of girls' clothing. From playful dresses to cozy separates, each piece is designed to capture the magic of childhood while keeping her comfortable and stylish.",Girls' Clothing: Adorable Styles for Your Little Princess,"Girls' clothing, children's fashion, girls' dresses, cute girls' outfits, trendy girls' wear, stylish girls' clothing","Explore our delightful collection of girls' clothing, crafted to make every day feel like a fairytale. From adorable dresses to fashionable separates, our range offers charming styles that are as unique and special as your little one.",,,13,description_only,1,"size,color"
Vêtements pour filles,kids,fr,kids-girl-clothing,vêtements-pour-filles,"habillez votre petite princesse avec style enchanté avec notre charmante collection de vêtements pour filles. Des robes ludiques aux séparations confortables, chaque pièce est conçue pour capturer la magie de l'enfance tout en la gardant confortable et élégante.",Vêtements pour filles : des styles adorables pour votre petite princesse,"Vêtements pour filles, mode enfant, robes pour filles, tenues mignonnes pour filles, vêtements tendance pour filles, vêtements élégants pour filles","Découvrez notre délicieuse collection de vêtements pour filles, conçue pour faire de chaque jour un conte de fées. Des robes adorables aux vêtements séparés à la mode, notre gamme propose des styles charmants aussi uniques et spéciaux que votre petite fille.",,,13,description_only,1,"size,color"
Boys Clothing,kids,en,kids-boys-clothing,,"Fuel your little adventurer's imagination with our rugged yet stylish collection of boys' clothing. From durable playwear to smart casuals, each piece is designed to withstand the rigors of childhood while keeping him looking cool and confident.",Boys' Clothing: Outfit Your Young Explorer in Style,"Boys' clothing, children's fashion, boys' outfits, rugged boys' wear, trendy boys' clothing, stylish boys' fashion","Discover our collection of boys' clothing, perfect for every adventure. From durable playwear to smart casuals, our range offers stylish options that are as tough and resilient as your little explorer.",,,14,products_and_description,1,"size,color"
Vêtements pour garçons,kids,fr,kids-boys-clothing,vêtements-pour-garçons,"Alimentez l'imagination de votre petit aventurier avec notre collection robuste mais élégante de vêtements pour garçons. Du vêtement de jeu durable aux tenues décontractées, chaque pièce est conçue pour résister aux rigueurs de l'enfance tout en le gardant cool et confiant.",Vêtements pour garçons : habillez votre jeune explorateur avec style,"Vêtements pour garçons, mode enfantine, tenues pour garçons, vêtements robustes pour garçons, vêtements tendance pour garçons, mode élégante pour garçons","Découvrez notre collection de vêtements pour garçons, parfaite pour chaque aventure. Des vêtements de jeu durables aux tenues décontractées élégantes, notre gamme offre des options élégantes aussi robustes et résistantes que votre petit explorateur.",,,14,products_and_description,1,"size,color"
Girls Footwear,kids,en,kids-girls-footwear,,"Step into a world of charm and comfort with our enchanting collection of girls' footwear. From sparkly sandals to sturdy boots, each pair is designed to add a touch of magic to her every step while ensuring durability and support.",Girls' Footwear: Step into Style and Magic,"Girls' footwear, children's shoes, girls' sandals, cute girls' shoes, stylish girls' footwear, comfortable girls' footwear","Explore our delightful collection of girls' footwear, crafted to make every step a magical adventure. From adorable sandals to sturdy boots, our range offers stylish options designed to keep her feet happy and stylish throughout her day.",,,15,products_only,1,"size,color"
Chaussures pour filles,kids,fr,kids-girls-footwear,chaussures-pour-filles,"Plongez dans un monde de charme et de confort avec notre collection enchanteresse de chaussures pour filles. Des sandales scintillantes aux bottes solides, chaque paire est conçue pour ajouter une touche de magie à chacun de ses pas tout en assurant durabilité et soutien.",Chaussures pour filles : entrez dans le style et la magie,"Chaussures pour filles, chaussures pour enfants, sandales pour filles, jolies chaussures pour filles, chaussures élégantes pour filles, chaussures confortables pour filles","Découvrez notre charmante collection de chaussures pour filles, conçue pour faire de chaque pas une aventure magique. Des sandales adorables aux bottes solides, notre gamme offre des options élégantes conçues pour garder ses pieds heureux et élégants tout au long de sa journée.",,,15,products_only,1,"size,color"
Boys Footwear,kids,en,kids-boys-footwear,,"Equip your little explorer for every adventure with our rugged and reliable collection of boys' footwear. From sturdy sneakers to durable boots, each pair is crafted to withstand the demands of active play while keeping him comfortable and stylish.",Boys' Footwear: Gear Up for Adventures in Style,"Boys' footwear, children's shoes, boys' sneakers, durable boys' shoes, stylish boys' footwear, comfortable boys' footwear","Discover our collection of boys' footwear, designed to keep up with his every move. From sturdy sneakers to durable boots, our range offers stylish options crafted for both comfort and adventure, ensuring he steps out in style wherever he goes.",,,16,description_only,1,"size,color"
Chaussures pour garçons,kids,fr,kids-boys-footwear,chaussures pour garçons,"Équipez votre petit explorateur pour chaque aventure avec notre collection robuste et fiable de chaussures pour garçons. Des baskets solides aux bottes durables, chaque paire est conçue pour résister aux exigences du jeu actif tout en le maintenant confortable et élégant.",Chaussures pour garçons: Équipez-vous pour des aventures avec style,"Chaussures pour garçons, chaussures pour enfants, baskets pour garçons, chaussures durables pour garçons, chaussures élégantes pour garçons, chaussures confortables pour garçons","Découvrez notre collection de chaussures pour garçons, conçue pour suivre tous ses mouvements. Des baskets robustes aux bottes durables, notre gamme offre des options élégantes conçues pour le confort et l'aventure, garantissant qu'il sorte avec style où qu'il aille.",,,16,description_only,1,"size,color"
